Date,USD_Price,USD_Open,USD_High,USD_Low,USD_Vol.,USD_Change %
01/12/22,50.540001,51.400002,49.279999,50.240002,50.108147,165000
01/11/22,47.68,49.799999,46.84,49.630001,49.499748,177800
01/10/22,46.07,48.099998,44.330002,48.040001,47.913918,307100
01/07/22,50.450001,50.830002,47.299999,47.540001,47.41523,220000
01/06/22,49.98,51.09,48.59,50.599998,50.467197,107100
01/05/22,53.02,53.830002,49.700001,49.810001,49.679276,142900
01/04/22,55.169998,55.650002,51.18,53.73,53.588985,214000
01/03/22,53.470001,55.25,53.470001,54.880001,54.73597,159600
12/31/21,53.290001,54.16,52.77,52.82,52.681374,59200
12/30/21,54.52,55,52.970001,53.130001,52.990562,127300
12/29/21,54.740002,55.349998,53.599998,54.52,54.376911,75800
12/28/21,56.669998,56.669998,54.119999,54.619999,54.476646,128700
12/27/21,53.200001,56.139999,53.200001,56.130001,55.982689,130300
12/23/21,52.139999,53.66,52.139999,52.830002,52.691349,135600
12/22/21,50.439999,51.759998,49.669998,51.700001,51.564312,126600
12/21/21,49.259998,50.98,47.700001,50.880001,50.746468,167100
12/20/21,46.439999,48,46.139999,47.310001,47.185837,171100
12/17/21,47.52,49.93,47.360001,47.970001,47.844105,113000
12/16/21,54.599998,54.740002,48,48.639999,48.512344,316500
12/15/21,49.549999,53.77,48.330002,53.66,53.519169,356800
12/14/21,48.310001,49.830002,47.650002,49.25,49.120743,129600
12/13/21,53.669998,53.669998,49.529999,49.650002,49.519695,148700
12/10/21,54.32,54.93,52.040001,53.09,52.950665,110000
12/09/21,54.98,56.02,52.330002,52.419998,52.282421,146300
12/08/21,55.82,55.82,54.5,55.380001,55.234657,162600
12/07/21,53.380001,56.41,53.380001,56.220001,56.072453,170400
12/06/21,50.599998,51.049999,46.849998,50.700001,50.566936,228600
12/03/21,53.810001,54.43,49.860001,51.169998,51.035702,164700
12/02/21,51.310001,53.419998,50.68,52.529999,52.392132,136900
12/01/21,55.639999,56.880001,52.07,52.16,52.023106,410100
11/30/21,55.639999,56.360001,52.779999,54.080002,53.938068,203100
11/29/21,53.610001,56.27,52.990002,56.200001,56.052502,257900
11/26/21,52.84,54,50.939999,51.630001,51.494499,132500
11/24/21,52.32,54.82,51.240002,54.759998,54.61628,183600
11/23/21,53.040001,54.25,51.060001,53.029999,52.89082,194000
11/22/21,56.41,58.41,53.400002,53.48,53.339642,391000
11/19/21,54.700001,56.139999,54.169998,55.540001,55.394234,135800
11/18/21,54.919998,55.400002,53.360001,54.330002,54.187412,253700
11/17/21,52.639999,52.709999,50.82,51.290001,51.155388,119300
11/16/21,50.330002,52.619999,50.330002,52.52,52.38216,246700
11/15/21,51.970001,51.970001,49.580002,50.93,50.796333,145300
11/12/21,50.75,51.779999,50,51.25,51.115494,131900
11/11/21,49.830002,50.720001,49.279999,50.490002,50.357491,199900
11/10/21,49.389999,51.07,47.75,48.27,48.143314,599700
11/09/21,53.380001,53.439999,50.189999,51.490002,51.354866,211800
11/08/21,50.5,52.150002,50.130001,51.599998,51.464573,254000
11/05/21,49.560001,51.389999,48.939999,49.639999,49.50972,227800
11/04/21,45.299999,50.02,45.299999,48.77,48.642002,253900
11/03/21,43.189999,44.150002,42.919998,44.07,43.954338,288200
11/02/21,42.07,43.259998,42.07,43.150002,43.036755,73500
11/01/21,41,42.029999,40.630001,42,41.889771,111700
10/29/21,39.630001,40.900002,39.630001,40.689999,40.583206,277800
10/28/21,39.349998,40.049999,39.349998,40.02,39.914967,78900
10/27/21,38.700001,39.5,38.57,38.59,38.48872,41000
10/26/21,39.130001,40.16,38.810001,39.200001,39.097118,132100
10/25/21,38,38.720001,37.77,38.259998,38.159584,151000
10/22/21,38.279999,38.740002,37.360001,37.5,37.401581,559900
10/21/21,37.130001,38.57,37.130001,38.509998,38.408928,104500
10/20/21,37.490002,37.849998,37.27,37.52,37.421528,47100
10/19/21,37.060001,37.75,36.720001,37.68,37.581108,159800
10/18/21,35.830002,36.98,35.470001,36.93,36.833076,75700
10/15/21,36.189999,36.41,35.830002,36.18,36.085045,81500
10/14/21,34.849998,35.779999,34.639999,35.759998,35.666145,228800
10/13/21,33.759998,33.919998,33.360001,33.689999,33.601578,45000
10/12/21,34.330002,34.349998,32.939999,33.240002,33.152763,69900
10/11/21,34.040001,35.060001,33.900002,33.939999,33.850922,94500
10/08/21,35.189999,35.189999,34.220001,34.310001,34.219955,107800
10/07/21,34.919998,35.849998,34.84,34.889999,34.798431,78200
10/06/21,32.950001,34.169998,32.82,34.119999,34.030449,180200
10/05/21,32.830002,34.169998,32.830002,33.720001,33.631504,1038600
10/04/21,34.080002,34.16,32.25,32.549999,32.464573,194300
10/01/21,34.599998,34.639999,33.18,34.419998,34.329662,133100
09/30/21,34.860001,35.27,34.209999,34.209999,34.120216,109800
09/29/21,35.439999,35.459999,34.02,34.16,34.070347,82800
09/28/21,36.610001,37.080002,35.130001,35.16,35.067722,128700
09/27/21,37.52,38.23,36.77,38.029999,37.930187,272000
09/24/21,37.73,38.389999,37.57,38.240002,38.139641,144700
09/23/21,37.82,38.700001,37.450001,38.5,38.398956,679700
09/22/21,36.189999,37.5,36.02,37.310001,37.212082,98600
09/21/21,36.110001,36.18,35.040001,35.75,35.656174,77000
09/20/21,35.900002,36.150002,34.419998,35.529999,35.436749,159700
09/17/21,38.52,38.52,37.25,37.52,37.421528,82000
09/16/21,38.139999,38.77,37.580002,38.59,38.48872,118600
09/15/21,38.009998,38.529999,37.459999,38.48,38.379009,91600
09/14/21,38.279999,38.599998,37.799999,38.009998,37.91024,104600
09/13/21,38.400002,38.540001,37.139999,38.099998,38.000004,367700
09/10/21,37.619999,38.689999,37.599998,37.669998,37.571133,187600
09/09/21,36.93,37.450001,36.91,37.049999,36.952763,82900
09/08/21,37.599998,37.599998,36.189999,36.900002,36.803158,108000
09/07/21,38.189999,38.189999,37.43,37.82,37.720741,83200
09/03/21,37.720001,38.459999,37.720001,38.25,38.149612,98800
09/02/21,37.889999,38,37.400002,37.66,37.561161,41600
09/01/21,38.34,38.380001,37.580002,37.580002,37.481373,110000
08/31/21,38.720001,38.720001,37.349998,38,37.900269,76100
08/30/21,38.900002,39.450001,38.389999,38.59,38.48872,80500
08/27/21,37.110001,38.540001,37.110001,38.389999,38.289246,92400
