Date,BRENT_OIL_Price,BRENT_OIL_Open,BRENT_OIL_High,BRENT_OIL_Low,BRENT_OIL_Vol.,BRENT_OIL_Change %
11/18/22,87.62,90.1,90.63,85.8,379.66K,-2.41%
11/17/22,89.78,92.73,92.91,89.53,313.53K,-3.32%
11/16/22,92.86,94.11,94.79,91.67,257.62K,-1.07%
11/15/22,93.86,92.59,95.77,91.53,317.50K,0.77%
11/14/22,93.14,95.87,96.95,92.5,248.25K,-2.97%
11/11/22,95.99,93.84,96.92,93.69,238.07K,2.48%
11/10/22,93.67,92.53,94.32,91.73,278.53K,1.10%
11/09/22,92.65,95.17,95.65,92.33,308.02K,-2.84%
11/08/22,95.36,98.24,98.3,95,251.67K,-2.61%
11/07/22,97.92,97.31,99.56,96.5,241.94K,-0.66%
11/04/22,98.57,94.58,98.81,94.33,307.09K,4.12%
11/03/22,94.67,95.36,95.98,94.19,229.12K,-1.55%
11/02/22,96.16,94.85,96.5,94.01,253.00K,1.60%
11/01/22,94.65,92.67,95.55,92.33,247.65K,-0.19%
10/31/22,94.83,96.47,96.47,94.25,15.00K,-0.98%
10/28/22,95.77,96.58,96.89,94.96,89.94K,-1.23%
10/27/22,96.96,96.05,97.27,95.07,84.57K,1.33%
10/26/22,95.69,92.91,96.25,92.06,138.00K,4.31%
10/25/22,91.74,91.4,92.48,89.75,222.20K,0.58%
10/24/22,91.21,91.23,92.3,89.01,178.75K,-0.14%
10/21/22,91.34,90.48,91.72,89.17,181.51K,0.98%
10/20/22,90.45,90.47,92.66,90.01,211.69K,-0.12%
10/19/22,90.56,89.31,90.95,87.9,260.25K,2.21%
10/18/22,88.6,90.53,91.22,87.52,247.36K,-1.75%
10/17/22,90.18,90.2,91.79,89.49,163.34K,0.03%
10/14/22,90.15,92.81,93.45,89.81,153.89K,-4.67%
10/13/22,94.57,92.49,94.92,91.08,280.52K,2.29%
10/12/22,92.45,93.72,95.17,91.56,257.66K,-1.95%
10/11/22,94.29,95.93,96.46,93.11,259.03K,-1.98%
10/10/22,96.19,98.75,98.75,95.6,215.37K,-1.77%
10/07/22,97.92,94.71,98.58,93.94,269.40K,3.71%
10/06/22,94.42,93.71,94.98,92.72,207.53K,1.12%
10/05/22,93.37,91.89,93.96,90.76,296.20K,1.71%
10/04/22,91.8,88.81,92.4,88.78,282.38K,3.31%
10/03/22,88.86,86.35,89.82,86.35,270.69K,1.02%
09/30/22,87.96,88.53,89.8,87.69,5.89K,-0.60%
09/29/22,88.49,88.97,90.12,87.33,57.86K,-0.93%
09/28/22,89.32,86.14,89.47,84.26,74.33K,5.24%
09/27/22,84.87,82.84,85.84,82.81,252.52K,2.43%
09/26/22,82.86,85.54,86.45,82.44,257.04K,-2.55%
09/23/22,85.03,89.57,89.88,84.55,304.20K,-5.03%
09/22/22,89.53,88.83,91.74,88.28,219.29K,0.82%
09/21/22,88.8,89.57,92.23,88.31,247.64K,-0.67%
09/20/22,89.4,90.85,91.57,88.56,209.16K,-2.83%
09/19/22,92,91.43,92.57,88.5,138.53K,0.71%
09/16/22,91.35,90.51,92.66,90.25,197.48K,0.56%
09/15/22,90.84,94.65,94.66,90.03,257.62K,-3.46%
09/14/22,94.1,93.4,95.8,91.93,259.90K,1.00%
09/13/22,93.17,94.31,95.53,91.05,275.17K,-0.88%
09/12/22,94,92.54,95.17,91.21,210.43K,1.25%
09/09/22,92.84,88.62,93.12,88.6,202.94K,4.76%
